index,id,name,description,group_id,group_description
323,QIT-11,Other sources of bias,-1,-1,-1
324,QIT-09,Baseline outcome measurements similar,-1,QIG-09.01,All outcomes
325,QIT-11,Contamination,Study adequately protected against contamination,-1,-1
326,QIT-12,Intervention independent of other changes,-1,-1,-1
327,QIT-13,Shape of intervention effect pre-specified,-1,-1,-1
328,QIT-14,Intervention unlikely to affect data collection,-1,-1,-1
329,QIT-03,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-03.01,All outcomes
330,QIT-07,Other bias,Bias due to problems not covered elsewhere in the table,-1,-1
331,QIT-09,Blinding of outcome assessment (death),-1,-1,-1
332,QIT-10,Blinding of outcome assessment (disabling neurological deficit at the end of follow-up),-1,-1,-1
333,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,Blinding patient
334,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Blinding care provider
335,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,Blinding outcome assessor
336,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Drop outs / withdrawals
337,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,ITT analysis
338,QIT-07,Timing of outcome assessment similar in all groups?,-1,-1,-1
339,QIT-08,Baseline imbalance? (were groups balanced at baseline),Group balanced at baseline,-1,-1
340,QIT-17,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-17.01,All outcomes
341,QIT-18,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-18.01,All outcomes
342,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,-1,-1
343,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Objective outcomes
344,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,Subjective outcomes
345,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,Blinding of participants
346,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Blinding of outcome assessors
347,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Patient reported outcomes
348,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,Lung function and exercise test
349,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.03,"Blood gases, hospitalisations and mortality."
350,QIT-07,Blinding of outcome assessment (detection bias),Was the assessor of outcome blinded or masked to treatment allocation?,-1,-1
351,QIT-08,Groups balanced at baseline,Were treatment groups balanced at baseline?,-1,-1
352,QIT-11,Intention-to-treat analysis,-1,-1,-1
353,QIT-12,Groups received same cointerventions,Did groups receive similar cointerventions,-1,-1
354,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.16,COPD exacerbations (mean number per participant)
355,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.21,Health-related quality of life (HRQoL): CRQ domain scores (primary analysis)
356,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.01,Health-related quality of life (HRQoL): adjusted SGRQ total score (primary analysis)
357,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.03,Healthcare utilisation: respiratory-related hospital admissions (number of participants with at least one admission) (primary analysis)
358,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.04,Mortality: all-cause mortality (primary analysis)
359,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.05,Healthcare utilisation: all-cause hospitalisation days (per participant)
360,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.07,Exercise capacity: six-minute walk test (6MWT)
361,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.08,Healthcare utilisation: respiratory-related hospital admissions (subgroup by smoking cessation component)
362,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.11,Healthcare utilisation: all-cause hospital admissions (number of participants with at least one admission)
363,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.14,Health status: Hospital Anxiety and Depression Scale (HADS)
364,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.18,Health status: modified Medical Research Council Dyspnoea Scale (mMRC)
365,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.10,Mortality: respiratory-related mortality (primary analysis)
366,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.06,Healthcare utilisation: emergency department visits (mean number per participant)
367,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.09,Healthcare utilisation: respiratory-related hospital admissions (mean number per participant) (primary analysis)
368,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.12,Healthcare utilisation: all-cause hospital admissions (mean number per participant)
369,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.13,Healthcare utilisation: GP visits (mean number per participant)
370,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.19,Healthcare utilisation: respiratory-related hospitalisation days (per participant)
371,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.15,Healthcare utilisation: emergency department visits (number of participants with at least one visit)
372,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.17,Courses of oral steriods (number of participants who used at least one course)
373,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.20,Courses of antibiotics (number of participants who used at least one course)
374,QIT-03,Bias due to missing outcome data,-1,QIG-03.16,COPD exacerbations (mean number per participant)
375,QIT-03,Bias due to missing outcome data,-1,QIG-03.21,Health-related quality of life (HRQoL): CRQ domain scores (primary analysis)
376,QIT-03,Bias due to missing outcome data,-1,QIG-03.01,Health-related quality of life (HRQoL): adjusted SGRQ total score (primary analysis)
377,QIT-03,Bias due to missing outcome data,-1,QIG-03.03,Healthcare utilisation: respiratory-related hospital admissions (number of participants with at least one admission) (primary analysis)
378,QIT-03,Bias due to missing outcome data,-1,QIG-03.04,Mortality: all-cause mortality (primary analysis)
379,QIT-03,Bias due to missing outcome data,-1,QIG-03.05,Healthcare utilisation: all-cause hospitalisation days (per participant)
380,QIT-03,Bias due to missing outcome data,-1,QIG-03.07,Exercise capacity: six-minute walk test (6MWT)
381,QIT-03,Bias due to missing outcome data,-1,QIG-03.08,Healthcare utilisation: respiratory-related hospital admissions (subgroup by smoking cessation component)
382,QIT-03,Bias due to missing outcome data,-1,QIG-03.11,Healthcare utilisation: all-cause hospital admissions (number of participants with at least one admission)
383,QIT-03,Bias due to missing outcome data,-1,QIG-03.14,Health status: Hospital Anxiety and Depression Scale (HADS)
384,QIT-03,Bias due to missing outcome data,-1,QIG-03.18,Health status: modified Medical Research Council Dyspnoea Scale (mMRC)
385,QIT-03,Bias due to missing outcome data,-1,QIG-03.10,Mortality: respiratory-related mortality (primary analysis)
386,QIT-03,Bias due to missing outcome data,-1,QIG-03.06,Healthcare utilisation: emergency department visits (mean number per participant)
387,QIT-03,Bias due to missing outcome data,-1,QIG-03.09,Healthcare utilisation: respiratory-related hospital admissions (mean number per participant) (primary analysis)
388,QIT-03,Bias due to missing outcome data,-1,QIG-03.12,Healthcare utilisation: all-cause hospital admissions (mean number per participant)
389,QIT-03,Bias due to missing outcome data,-1,QIG-03.13,Healthcare utilisation: GP visits (mean number per participant)
390,QIT-03,Bias due to missing outcome data,-1,QIG-03.19,Healthcare utilisation: respiratory-related hospitalisation days (per participant)
391,QIT-03,Bias due to missing outcome data,-1,QIG-03.15,Healthcare utilisation: emergency department visits (number of participants with at least one visit)
392,QIT-03,Bias due to missing outcome data,-1,QIG-03.17,Courses of oral steriods (number of participants who used at least one course)
393,QIT-03,Bias due to missing outcome data,-1,QIG-03.20,Courses of antibiotics (number of participants who used at least one course)
394,QIT-04,Bias in measurement of the outcome,-1,QIG-04.16,COPD exacerbations (mean number per participant)
395,QIT-04,Bias in measurement of the outcome,-1,QIG-04.21,Health-related quality of life (HRQoL): CRQ domain scores (primary analysis)
396,QIT-04,Bias in measurement of the outcome,-1,QIG-04.01,Health-related quality of life (HRQoL): adjusted SGRQ total score (primary analysis)
397,QIT-04,Bias in measurement of the outcome,-1,QIG-04.03,Healthcare utilisation: respiratory-related hospital admissions (number of participants with at least one admission) (primary analysis)
398,QIT-04,Bias in measurement of the outcome,-1,QIG-04.04,Mortality: all-cause mortality (primary analysis)
399,QIT-04,Bias in measurement of the outcome,-1,QIG-04.05,Healthcare utilisation: all-cause hospitalisation days (per participant)
400,QIT-04,Bias in measurement of the outcome,-1,QIG-04.07,Exercise capacity: six-minute walk test (6MWT)
401,QIT-04,Bias in measurement of the outcome,-1,QIG-04.08,Healthcare utilisation: respiratory-related hospital admissions (subgroup by smoking cessation component)
402,QIT-04,Bias in measurement of the outcome,-1,QIG-04.11,Healthcare utilisation: all-cause hospital admissions (number of participants with at least one admission)
403,QIT-04,Bias in measurement of the outcome,-1,QIG-04.14,Health status: Hospital Anxiety and Depression Scale (HADS)
404,QIT-04,Bias in measurement of the outcome,-1,QIG-04.18,Health status: modified Medical Research Council Dyspnoea Scale (mMRC)
405,QIT-04,Bias in measurement of the outcome,-1,QIG-04.10,Mortality: respiratory-related mortality (primary analysis)
406,QIT-04,Bias in measurement of the outcome,-1,QIG-04.06,Healthcare utilisation: emergency department visits (mean number per participant)
407,QIT-04,Bias in measurement of the outcome,-1,QIG-04.09,Healthcare utilisation: respiratory-related hospital admissions (mean number per participant) (primary analysis)
408,QIT-04,Bias in measurement of the outcome,-1,QIG-04.12,Healthcare utilisation: all-cause hospital admissions (mean number per participant)
409,QIT-04,Bias in measurement of the outcome,-1,QIG-04.13,Healthcare utilisation: GP visits (mean number per participant)
410,QIT-04,Bias in measurement of the outcome,-1,QIG-04.19,Healthcare utilisation: respiratory-related hospitalisation days (per participant)
411,QIT-04,Bias in measurement of the outcome,-1,QIG-04.15,Healthcare utilisation: emergency department visits (number of participants with at least one visit)
412,QIT-04,Bias in measurement of the outcome,-1,QIG-04.17,Courses of oral steriods (number of participants who used at least one course)
413,QIT-04,Bias in measurement of the outcome,-1,QIG-04.20,Courses of antibiotics (number of participants who used at least one course)
414,QIT-05,Bias in selection of the reported result,-1,QIG-05.16,COPD exacerbations (mean number per participant)
415,QIT-05,Bias in selection of the reported result,-1,QIG-05.21,Health-related quality of life (HRQoL): CRQ domain scores (primary analysis)
416,QIT-05,Bias in selection of the reported result,-1,QIG-05.01,Health-related quality of life (HRQoL): adjusted SGRQ total score (primary analysis)
417,QIT-05,Bias in selection of the reported result,-1,QIG-05.03,Healthcare utilisation: respiratory-related hospital admissions (number of participants with at least one admission) (primary analysis)
418,QIT-05,Bias in selection of the reported result,-1,QIG-05.04,Mortality: all-cause mortality (primary analysis)
419,QIT-05,Bias in selection of the reported result,-1,QIG-05.05,Healthcare utilisation: all-cause hospitalisation days (per participant)
420,QIT-05,Bias in selection of the reported result,-1,QIG-05.07,Exercise capacity: six-minute walk test (6MWT)
421,QIT-05,Bias in selection of the reported result,-1,QIG-05.08,Healthcare utilisation: respiratory-related hospital admissions (subgroup by smoking cessation component)
422,QIT-05,Bias in selection of the reported result,-1,QIG-05.11,Healthcare utilisation: all-cause hospital admissions (number of participants with at least one admission)
423,QIT-05,Bias in selection of the reported result,-1,QIG-05.14,Health status: Hospital Anxiety and Depression Scale (HADS)
424,QIT-05,Bias in selection of the reported result,-1,QIG-05.18,Health status: modified Medical Research Council Dyspnoea Scale (mMRC)
425,QIT-05,Bias in selection of the reported result,-1,QIG-05.10,Mortality: respiratory-related mortality (primary analysis)
426,QIT-05,Bias in selection of the reported result,-1,QIG-05.06,Healthcare utilisation: emergency department visits (mean number per participant)
427,QIT-05,Bias in selection of the reported result,-1,QIG-05.09,Healthcare utilisation: respiratory-related hospital admissions (mean number per participant) (primary analysis)
428,QIT-05,Bias in selection of the reported result,-1,QIG-05.12,Healthcare utilisation: all-cause hospital admissions (mean number per participant)
429,QIT-05,Bias in selection of the reported result,-1,QIG-05.13,Healthcare utilisation: GP visits (mean number per participant)
430,QIT-05,Bias in selection of the reported result,-1,QIG-05.19,Healthcare utilisation: respiratory-related hospitalisation days (per participant)
431,QIT-05,Bias in selection of the reported result,-1,QIG-05.15,Healthcare utilisation: emergency department visits (number of participants with at least one visit)
432,QIT-05,Bias in selection of the reported result,-1,QIG-05.17,Courses of oral steriods (number of participants who used at least one course)
433,QIT-05,Bias in selection of the reported result,-1,QIG-05.20,Courses of antibiotics (number of participants who used at least one course)
434,QIT-06,Overall bias,-1,QIG-06.16,COPD exacerbations (mean number per participant)
435,QIT-06,Overall bias,-1,QIG-06.21,Health-related quality of life (HRQoL): CRQ domain scores (primary analysis)
436,QIT-06,Overall bias,-1,QIG-06.01,Health-related quality of life (HRQoL): adjusted SGRQ total score (primary analysis)
437,QIT-06,Overall bias,-1,QIG-06.03,Healthcare utilisation: respiratory-related hospital admissions (number of participants with at least one admission) (primary analysis)
438,QIT-06,Overall bias,-1,QIG-06.04,Mortality: all-cause mortality (primary analysis)
439,QIT-06,Overall bias,-1,QIG-06.05,Healthcare utilisation: all-cause hospitalisation days (per participant)
440,QIT-06,Overall bias,-1,QIG-06.07,Exercise capacity: six-minute walk test (6MWT)
441,QIT-06,Overall bias,-1,QIG-06.08,Healthcare utilisation: respiratory-related hospital admissions (subgroup by smoking cessation component)
442,QIT-06,Overall bias,-1,QIG-06.11,Healthcare utilisation: all-cause hospital admissions (number of participants with at least one admission)
443,QIT-06,Overall bias,-1,QIG-06.14,Health status: Hospital Anxiety and Depression Scale (HADS)
444,QIT-06,Overall bias,-1,QIG-06.18,Health status: modified Medical Research Council Dyspnoea Scale (mMRC)
445,QIT-06,Overall bias,-1,QIG-06.10,Mortality: respiratory-related mortality (primary analysis)
446,QIT-06,Overall bias,-1,QIG-06.06,Healthcare utilisation: emergency department visits (mean number per participant)
447,QIT-06,Overall bias,-1,QIG-06.09,Healthcare utilisation: respiratory-related hospital admissions (mean number per participant) (primary analysis)
448,QIT-06,Overall bias,-1,QIG-06.12,Healthcare utilisation: all-cause hospital admissions (mean number per participant)
449,QIT-06,Overall bias,-1,QIG-06.13,Healthcare utilisation: GP visits (mean number per participant)
450,QIT-06,Overall bias,-1,QIG-06.19,Healthcare utilisation: respiratory-related hospitalisation days (per participant)
451,QIT-06,Overall bias,-1,QIG-06.15,Healthcare utilisation: emergency department visits (number of participants with at least one visit)
452,QIT-06,Overall bias,-1,QIG-06.17,Courses of oral steriods (number of participants who used at least one course)
453,QIT-06,Overall bias,-1,QIG-06.20,Courses of antibiotics (number of participants who used at least one course)
454,QIT-09,Participant blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge by participant of the allocated interventions after assignment,-1,-1
455,QIT-10,Provider blinding (performance bias),Performance bias due to knowledge by provider of the allocated interventions after assignment,-1,-1
456,QIT-11,Assessor blinding (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,-1,-1
457,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,All outcomes - participants
458,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,All outcomes - providers
459,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,All outcomes - outcome assessors
460,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,All outcomes - loss to follow-up
461,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,All outcomes - intention to treat analysis
462,QIT-09,Group similarity at baseline (selection bias),-1,-1,-1
463,QIT-10,Influence of co-interventions (performance bias),-1,-1,-1
464,QIT-11,Compliance with interventions (performance bias),-1,-1,-1
465,QIT-12,Timing of outcome assessments (detection bias),-1,-1,-1
466,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,of participants?
467,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,of those delivering intervention?
468,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,of outcome assessors?
469,QIT-07,Similarity of groups at baseline,-1,-1,-1
470,QIT-09,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-09.01,subjectiveoutcomes
471,QIT-14,Recruiters blinded or recruitment taking place before randomisation,-1,-1,-1
472,QIT-09,Baseline (provider) characteristics similar,-1,-1,-1
473,QIT-10,Baseline (patient) characteristics similar,-1,-1,-1
474,QIT-13,Baseline outcome measurement similar,-1,-1,-1
475,QIT-11,Adequately protected against contamination,-1,-1,-1
476,QIT-12,Risk of bias overall,-1,-1,-1
477,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,all-cause mortality/cardiovascular mortality
478,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.02,"amputation, blindness/severe vision loss,end-stage renal disease"
479,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.03,hypoglycaemia
480,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.04,incidence of T2DM
481,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.05,measures of blood glucose control
482,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.06,"non-fatal myocardial infarction/stroke,congestive heart failure"
483,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.07,non-serious adverse events
484,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.08,serious adverse events
485,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.09,time to progression to T2DM
486,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.10,socioeconomic effects
487,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.11,Health related quality of life
488,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,all-cause/cardiovascular mortality
489,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,"amputation, blindness/severe vision loss,end-stage renal disease"
490,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.03,hypoglycaemia
491,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.04,incidence of T2DM
492,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.05,measures of blood glucose control
493,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.06,"non-fatal myocardial infarction/stroke, congestive heart failure"
494,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.07,non-serious adverse events
495,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.08,serious adverse events
496,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.09,time to progression to T2DM
497,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.10,socioeconomic effects
498,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.11,Health related quality of life
499,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,all-cause/cardiovascular mortality
500,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,"amputation, blindness/severe vision loss,end-stage renal disease"
501,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.03,hypoglycaemia
502,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.04,incidence of T2DM
503,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.05,measures of blood glucose control
504,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.06,"non-fatal myocardial infarction/stroke,congestive heart failure"
505,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.07,non-serious adverse events
506,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.08,serious adverse events
507,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.09,time to progression to T2DM
508,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.10,socioeconomic effects
509,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.11,Health related quality of life
510,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Exacerbations
511,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Stroke and TIA
512,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,All outcomes apart from stroke or all-cause mortality
513,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Primary Outcomes
514,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.03,Safety Data
515,QIT-10,Masking of participants and personnel (performance bias),-1,-1,-1
516,QIT-09,Masking of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,-1,-1
517,QIT-07,Main problems with the trial as perceived by this analysis,-1,-1,-1
518,QIT-10,Attention,Was there potential bias due to different amounts of time and/or attention to intervention and control participants?,-1,-1
519,QIT-12,Compliance,Bias due to low levels of compliance with intervention,-1,-1
520,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,of participants and personnel?
521,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,of outcome assessors?
522,QIT-09,Blinding of clinical outcomes assessment,Detection bias due to knowledge of the allocated interventions by clinical outcome assessors,-1,-1
523,QIT-10,Blinding of radiological outcomes assessment,Detection bias due to knowledge of the allocated interventions by radiological outcome assessors,-1,-1
524,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Participants
525,QIT-07,Risk of selection bias?,-1,-1,-1
526,QIT-09,Risk of detection bias?,-1,-1,-1
527,QIT-10,Risk of attrition bias?,-1,-1,-1
528,QIT-12,"Total risk of bias: A (low), B (moderate/unclear), or C (high)",-1,-1,-1
529,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,participant
530,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,clinician
531,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,assessor
532,QIT-07,Incomplete outcome data,were all randomised participants included inthe analysis in the groups to which they were randomised?,-1,-1
533,QIT-07,Blinding of patients (performance bias),Was patient's knowledge of the allocated interventions adequately preventing during the study?,QIG-07.01,All outcomes
534,QIT-08,Blinding of healthcare providers (performance bias),Was healthcare provider's knowledge of the allocated interventions adequately preventing during the study?,QIG-08.01,All outcomes
535,QIT-09,Blinding of outcome assessor (detection bias),Was outcome assessor's knowledge of the allocated interventions adequately preventing during the study?,QIG-09.01,All outcomes
536,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,End of intervention
537,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,End of follow-up
538,QIT-09,Imbalanced exposure,Lack of attention control means intervention groups have greater exposure,-1,-1
539,QIT-09,Overall bias assessment (mortality),-1,-1,-1
540,QIT-10,Overall bias assessment (non-mortality outcomes),-1,-1,-1
541,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,All outcomes
542,QIT-07,Intention-to-treat analysis?,Was the data alanysed with intention to treat?,-1,-1
543,QIT-08,Incomplete outcome data?,Were incomplete outcome data adequately addressed?,-1,-1
544,QIT-09,Groups balanced at baseline?,-1,-1,-1
545,QIT-10,Groups received same intervention?,-1,-1,-1
546,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,subjective outcomes
547,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.02,objective outcomes
548,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,subjective outcomes
549,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,objective outcomes
550,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Overall survival
551,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,"TTP, TTF, Response rate & Toxicity"
552,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.03,QoL
553,QIT-10,Blinding of outcome assessment (detection bias) (overall survival),-1,-1,-1
554,QIT-11,Blinding of outcome assessment (detection bias) (outcomes other than overall survival and quality of life),-1,-1,-1
555,QIT-09,Incomplete outcome data (attrition bias) (time-to-event outcomes),-1,-1,-1
556,QIT-12,Incomplete outcome data (attrition bias) (binary outcomes),-1,-1,-1
557,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Subjects
558,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,Assessors
559,QIT-07,Implementation integrity,-1,-1,-1
560,QIT-07,"Blinding (objective outcomes: drop out, use of substances measured by urine analysis)",-1,-1,-1
561,QIT-08,"Blinding (subjective outcomes: use of substances as measured by self report, side effects)",-1,-1,-1
562,QIT-07,Baseline Outcomes similar?,Were baseline characteristics similar,-1,-1
563,QIT-08,Free of contamination?,Was the study adequately protected against contamination?,-1,-1
