index,review_code,title
524,CD005974,CD005974 v. 10.15 Homeopathic medicinal products for preventing and treating acute respiratory tract infections in chi
525,CD005978,CD005978 v. 11.0 Zinc supplementation for the prevention of pneumonia in children aged 2 months to 59 months
526,CD005979,CD005979 v. 7.0 Pharmaceutical policies effects of reference pricing other pricing and purchasing policies
527,CD005982,CD005982 v. 5.0 Low molecular weight heparin for prevention of central venous catheter-related thrombosis in childre
528,CD005987,CD005987 v. 6.0 Scalpel versus electrosurgery for major abdominal incisions
529,CD005992,CD005992 v. 5.21 Legislative smoking bans for reducing harms from secondhand smoke exposure smoking prevalence and t
530,CD005998,CD005998 v. 6.79 Preoperative ripening of the cervix before operative hysteroscopy
531,CD006033,CD006033 v. 6.2 Steroidal contraceptives effect on bone fractures in women
532,CD006034,CD006034 v. 5.97 Interventions to prevent or treat heavy menstrual bleeding or pain associated with intrauterine-devi
533,CD006037,CD006037 v. 6.0 Psychosocial interventions for pregnant women in outpatient illicit drug treatment programs compared
534,CD006073,CD006073 v. 5.0 Repetitive task training for improving functional ability after stroke
535,CD006077,CD006077 v. 5.0 Allopurinol for chronic gout
536,CD006086,CD006086 v. 5.2 Nutritional supplements for people being treated for active tuberculosis
537,CD006094,CD006094 v. 3.0 Interventions for improving the appropriate use of imaging in people with musculoskeletal conditions
538,CD006102,CD006102 v. 3.0 Smoking cessation interventions for smokers with current or past depression
539,CD006103,CD006103 v. 13.20 Nicotine receptor partial agonists for smoking cessation
540,CD006106,CD006106 v. 5.0 Pain relief in hysterosalpingography
541,CD006109,CD006109 v. 8.0 Oral contraceptive pill progestogen or oestrogen pretreatment for ovarian stimulation protocols for
542,CD006127,CD006127 v. 7.9 Blood pressure control for diabetic retinopathy
543,CD006132,CD006132 v. 5.2 Interventions for improving adherence to ocular hypotensive therapy
544,CD006135,CD006135 v. 4.0 Probiotics for treating eczema
545,CD006137,CD006137 v. 6.0 H1-antihistamines for chronic spontaneous urticaria
546,CD006145,CD006145 v. 8.0 Exercise for the management of cancer-related fatigue in adults
547,CD006146,CD006146 v. 9.0 Opioids for neuropathic pain
548,CD006170,CD006170 v. 6.2 Methods of milk expression for lactating women
549,CD006185,CD006185 v. 8.0 Electromechanical-assisted training for walking after stroke
550,CD006190,CD006190 v. 5.131 Colchicine for acute gout
551,CD006196,CD006196 v. 3.6 Intermittent drug techniques for schizophrenia
552,CD006205,CD006205 v. 7.13 Interventions for the treatment of oral cavity and oropharyngeal cancers surgical treatment
553,CD006207,CD006207 v. 11.26 Physical interventions to interrupt or reduce the spread of respiratory viruses
554,CD006208,CD006208 v. 5.0 Interventions for reducing medication errors in children in hospital
555,CD006211,CD006211 v. 4.19 Comprehensive geriatric assessment for older adults admitted to hospital
556,CD006213,CD006213 v. 9.0 Healing by primary versus secondary intention after surgical treatment for pilonidal sinus
557,CD006219,CD006219 v. 7.2 Interventions for preventing weight gain after smoking cessation
558,CD006237,CD006237 v. 8.6 Interventions to improve return to work in depressed people
559,CD006239,CD006239 v. 3.0 Pharmacological interventions for preventing post-traumatic stress disorder (PTSD)
560,CD006250,CD006250 v. 5.0 Bisphosphonates for advanced prostate cancer
561,CD006258,CD006258 v. 7.0 Haemodiafiltration haemofiltration and haemodialysis for end-stage kidney disease
562,CD006275,CD006275 v. 13.264 Non-pharmacological management of infant and young child procedural pain
563,CD006282,CD006282 v. 5.0 Drug treatment for spinal muscular atrophy types II and III
564,CD006318,CD006318 v. 8.0 Maintenance agonist treatments for opiate-dependent pregnant women
565,CD006349,CD006349 v. 7.0 Percutaneous vertebroplasty for osteoporotic vertebral compression fracture
566,CD006359,CD006359 v. 6.0 Endometrial preparation for women undergoing embryo transfer with frozen embryos or embryos derived 
567,CD006375,CD006375 v. 6.0 Mid-urethral sling operations for stress urinary incontinence in women
568,CD006380,CD006380 v. 9.0 Pharmacologic interventions for treating phantom limb pain
569,CD006383,CD006383 v. 3.2 Insulin detemir versus insulin glargine for type 2 diabetes mellitus
570,CD006387,CD006387 v. 3.0 Interventions for the treatment of oral cavity and oropharyngeal cancer radiotherapy
571,CD006389,CD006389 v. 3.0 Interventions to facilitate return to work in adults with adjustment disorders
572,CD006417,CD006417 v. 4.0 School-based interventions for preventing HIV sexually transmitted infections and pregnancy in ado
573,CD006418,CD006418 v. 4.0 Isoniazid for preventing tuberculosis in HIV-infected children
574,CD006419,CD006419 v. 5.0 Antihelminthics in helminth-endemic areas effects on HIV disease progression
575,CD006420,CD006420 v. 5.2 Isolation as a strategy for controlling the transmission of hepatitis C virus (HCV) infection in hae
576,CD006423,CD006423 v. 5.0 Glucagon-like peptide analogues for type 2 diabetes mellitus
577,CD006424,CD006424 v. 3.0 Culturally appropriate health education for people in ethnic minority groups with type 2 diabetes me
578,CD006425,CD006425 v. 6.0 Antenatal breastfeeding education for increasing breastfeeding duration
579,CD006429,CD006429 v. 5.0 Oxygen for breathlessness in patients with chronic obstructive pulmonary disease who do not qualify 
580,CD006430,CD006430 v. 3.565 Occupational therapy for cognitive impairment in stroke patients
581,CD006440,CD006440 v. 4.170 Remotely delivered information training and support for informal caregivers of people with dementia
582,CD006459,CD006459 v. 6.0 Ultrasound guidance for upper and lower limb blocks
583,CD006462,CD006462 v. 5.0 Early additional food and fluids for healthy breastfed full-term infants
584,CD006474,CD006474 v. 4.0 Prebiotics in infants for prevention of allergy
585,CD006487,CD006487 v. 4.0 Injectable local anaesthetic agents for dental anaesthesia
586,CD006489,CD006489 v. 6.0 Exercise programs for people with dementia
587,CD006491,CD006491 v. 7.0 Mefloquine for preventing malaria during travel to endemic areas
588,CD006525,CD006525 v. 5.0 Collaborative care for depression and anxiety problems
589,CD006534,CD006534 v. 4.0 Citalopram versus other anti-depressive agents for depression
590,CD006536,CD006536 v. 6.0 Stem cell treatment for acute myocardial infarction
591,CD006543,CD006543 v. 3.6 Low vision rehabilitation for better quality of life in visually impaired adults
592,CD006545,CD006545 v. 6.2 Interventions for infantile haemangiomas of the skin
593,CD006560,CD006560 v. 8.0 Interventions for improving outcomes in patients with multimorbidity in primary care and community s
594,CD006583,CD006583 v. 8.0 Laparoscopic entry techniques
595,CD006611,CD006611 v. 6.0 Mobile phone text messaging and app-based interventions for smoking cessation
596,CD006612,CD006612 v. 6.2 Homocysteine-lowering interventions for preventing cardiovascular events
597,CD006616,CD006616 v. 4.0 N-acetylcysteine for sepsis and systemic inflammatory response in adults
598,CD006641,CD006641 v. 4.0 Rooming-in for new mother and infant versus separate care for increasing the duration of breastfeedi
599,CD006650,CD006650 v. 28.7 Anticoagulation for the long-term treatment of venous thromboembolism in people with cancer
600,CD006652,CD006652 v. 33.6 Parenteral anticoagulation in ambulatory patients with cancer
601,CD006657,CD006657 v. 4.0 Indoor residual spraying for preventing malaria
602,CD006674,CD006674 v. 5.0 Dietary advice interventions in pregnancy for preventing gestational diabetes mellitus
603,CD006683,CD006683 v. 4.8 Prophylactic non-steroidal anti-inflammatory drugs for the prevention of macular oedema after catara
604,CD006686,CD006686 v. 7.0 Bradykinin beta-2 receptor antagonists for acute traumatic brain injury
605,CD006706,CD006706 v. 2.0 Interventions for the prevention and treatment of herpes simplex virus in patients being treated for
606,CD006715,CD006715 v. 6.0 Epidural analgesia for adults undergoing cardiac surgery with or without cardiopulmonary bypass
607,CD006726,CD006726 v. 4.0 Psychological therapies for the treatment of post-traumatic stress disorder in children and adolesce
608,CD006727,CD006727 v. 5.0 Continuation and maintenance treatments for depression in older people
609,CD006732,CD006732 v. 5.32 Interventions for increasing the use of shared decision making by healthcare professionals
610,CD006748,CD006748 v. 6.0 Social norms information for alcohol misuse in university and college students
611,CD006749,CD006749 v. 5.0 Detoxification treatments for opiate dependent adolescents
612,CD006750,CD006750 v. 3.0 Calcineurin inhibitor withdrawal or tapering for kidney transplant recipients
613,CD006754,CD006754 v. 8.0 Anticonvulsants for cocaine dependence
614,CD006763,CD006763 v. 4.12 Altered dietary salt intake for preventing diabetic kidney disease and its progression
615,CD006764,CD006764 v. 5.3 Different corticosteroids and regimens for accelerating fetal lung maturation for babies at risk of 
616,CD006768,CD006768 v. 5.5 Interventions for convergence insufficiency a network meta-analysis
617,CD006771,CD006771 v. 5.0 Subcutaneous unfractionated heparin for the initial treatment of venous thromboembolism
618,CD006772,CD006772 v. 4.0 Service organisation for the secondary prevention of ischaemic heart disease in primary care
619,CD006787,CD006787 v. 4.0 Music interventions for acquired brain injury
620,CD006788,CD006788 v. 11.0 Pharmacological treatments for fatigue associated with palliative care
621,CD006811,CD006811 v. 6.7 Interventions to reduce body temperature to 35 C to 37 C in adults and children with traumatic bra
622,CD006826,CD006826 v. 5.0 Combined corticosteroid and long-acting beta2-agonist in one inhaler versus inhaled corticosteroids 
623,CD006829,CD006829 v. 8.0 Combined corticosteroid and long-acting beta2-agonist in one inhaler versus long-acting beta2-agonis
624,CD006832,CD006832 v. 3.0 Interventions for preventing critical illness polyneuropathy and critical illness myopathy
625,CD006833,CD006833 v. 3.0 Reiki for depression and anxiety
626,CD006839,CD006839 v. 5.2 Treatment for ulnar neuropathy at the elbow
627,CD006842,CD006842 v. 9.0 Oscillating devices for airway clearance in people with cystic fibrosis
628,CD006847,CD006847 v. 3.0 Gefitinib for advanced non-small cell lung cancer
629,CD006850,CD006850 v. 5.0 Braces for idiopathic scoliosis in adolescents
630,CD006869,CD006869 v. 6.0 Multiple session early psychological interventions for the prevention of post-traumatic stress disor
631,CD006876,CD006876 v. 6.0 Electromechanical and robot-assisted arm training for improving activities of daily living arm func
632,CD006886,CD006886 v. 3.0 Psychosocial interventions for smoking cessation in patients with coronary heart disease
633,CD006887,CD006887 v. 5.3 Risk scoring for the primary prevention of cardiovascular disease
634,CD006896,CD006896 v. 4.0 Folic acid supplementation during pregnancy for maternal health and pregnancy outcomes
635,CD006901,CD006901 v. 4.0 Nitric oxide donors for cervical ripening and induction of labour
636,CD006911,CD006911 v. 9.11 Music interventions for improving psychological and physical outcomes in people with cancer
637,CD006918,CD006918 v. 4.3 Risperidone versus placebo for schizophrenia
638,CD006936,CD006936 v. 7.0 Motivational interviewing for smoking cessation
639,CD006955,CD006955 v. 4.0 Workplace interventions to prevent work disability in workers on sick leave
640,CD006968,CD006968 v. 11.2 Local interventions for the management of alveolar osteitis (dry socket)
641,CD006980,CD006980 v. 6.0 Neonatal vitamin A supplementation for the prevention of mortality and morbidity in term neonates in
642,CD006981,CD006981 v. 3.111 Treatment for sialorrhea (excessive saliva) in people with motor neuron diseaseamyotrophic lateral 
643,CD007004,CD007004 v. 6.0 Aldosterone antagonists in addition to renin angiotensin system antagonists for preventing the progr
644,CD007007,CD007007 v. 5.5 Screening women for intimate partner violence in healthcare settings
645,CD007019,CD007019 v. 5.2 Hospital nurse-staffing models and patient- and staff-related outcomes
646,CD007025,CD007025 v. 5.0 Motivational interviewing for the prevention of alcohol misuse in young adults
647,CD007030,CD007030 v. 4.0 Interventions for post-stroke fatigue
648,CD007039,CD007039 v. 4.4 Interventions for perceptual disorders following stroke
649,CD007049,CD007049 v. 3.0 Wound infiltration with local anaesthetic agents for laparoscopic cholecystectomy
650,CD007058,CD007058 v. 4.0 Ultrasound for fetal assessment in early pregnancy
651,CD007070,CD007070 v. 3.5 Acupuncture for treating fibromyalgia
652,CD007071,CD007071 v. 5.0 In-service training for health professionals to improve care of seriously ill newborns and children 
653,CD007078,CD007078 v. 10.1 Internet-based interventions for smoking cessation
654,CD007079,CD007079 v. 3.0 Calcium supplementation (other than for preventing or treating hypertension) for improving pregnancy
655,CD007084,CD007084 v. 9.4 Effects of sevoflurane versus other general anaesthesia on emergence agitation in children
656,CD007090,CD007090 v. 5.0 Comparison of different protein concentrations of human milk fortifier for promoting growth and neur
657,CD007094,CD007094 v. 6.0 Honey for acute cough in children
658,CD007095,CD007095 v. 6.0 Xylitol for preventing acute otitis media in children up to 12 years of age
659,CD007105,CD007105 v. 12.0 Local anaesthetics and regional anaesthesia versus conventional analgesia for preventing persistent 
660,CD007110,CD007110 v. 5.0 Chemotherapy alone versus chemotherapy plus radiotherapy for adults with early stage Hodgkin lymphom
661,CD007115,CD007115 v. 10.0 Duloxetine for treating painful neuropathy chronic pain or fibromyalgia
662,CD007125,CD007125 v. 3.226 Multidisciplinary rehabilitation for older people with hip fractures
663,CD007130,CD007130 v. 8.0 Home-based versus centre-based cardiac rehabilitation
664,CD007131,CD007131 v. 5.10 Interventions to promote patient utilisation of cardiac rehabilitation
665,CD007137,CD007137 v. 11.1 Enteral lactoferrin supplementation for prevention of sepsis and necrotizing enterocolitis in preter
666,CD007139,CD007139 v. 3.0 Alprazolam for depression
667,CD007145,CD007145 v. 4.0 Diet or exercise or both for preventing excessive weight gain in pregnancy
668,CD007146,CD007146 v. 12.0 Interventions for preventing falls in older people living in the community
669,CD007194,CD007194 v. 4.0 Debriefing interventions for the prevention of psychological trauma in women following childbirth
670,CD007198,CD007198 v. 3.3 Information and communication technology in patient education and support for people with schizophre
671,CD007210,CD007210 v. 3.0 Maintenance treatments for opiate-dependent adolescents
672,CD007222,CD007222 v. 10.0 Screening for gestational diabetes mellitus based on different risk profiles and settings for improv
673,CD007228,CD007228 v. 5.2 Structured telephone support or non-invasive telemonitoring for patients with heart failure
674,CD007239,CD007239 v. 5.0 Interventions for preventing mastitis after childbirth
675,CD007244,CD007244 v. 4.0 Black cohosh (Cimicifuga spp.) for menopausal symptoms
676,CD007249,CD007249 v. 5.0 Theory-based interventions for contraception
677,CD007253,CD007253 v. 5.13 Interventions for smoking cessation and reduction in individuals with schizophrenia
678,CD007260,CD007260 v. 4.0 Mechanical versus manual chest compressions for cardiac arrest
679,CD007272,CD007272 v. 5.5 Anaesthetic interventions for prevention of awareness during surgery
680,CD007275,CD007275 v. 2.0 Effects of communicating DNA-based disease risk estimates on risk-reducing behaviours
681,CD007277,CD007277 v. 3.0 Abatacept for rheumatoid arthritis
682,CD007286,CD007286 v. 7.2 Antiepileptic drugs as prophylaxis for postcraniotomy seizures
683,CD007297,CD007297 v. 2.42 Shared decision-making interventions for people with mental health conditions
684,CD007298,CD007298 v. 7.0 Vitamin D supplementation for cystic fibrosis
685,CD007315,CD007315 v. 2.164 Perioperative glycaemic control for people with diabetes undergoing surgery
686,CD007324,CD007324 v. 6.0 Intravitreal steroids versus observation for macular edema secondary to central retinal vein occlusi
687,CD007337,CD007337 v. 3.91 Intraperitoneal local anaesthetic instillation versus no intraperitoneal local anaesthetic instillat
688,CD007354,CD007354 v. 9.0 Benzodiazepines for the relief of breathlessness in advanced malignant and non-malignant diseases in
689,CD007355,CD007355 v. 11.0 Single dose oral ketoprofen or dexketoprofen for acute postoperative pain in adults
690,CD007360,CD007360 v. 4.0 Naftopidil for the treatment of lower urinary tract symptoms compatible with benign prostatic hyperp
691,CD007372,CD007372 v. 5.0 Home versus inpatient induction of labour for improving birth outcomes
692,CD007373,CD007373 v. 4.0 Interventions for pain with intrauterine device insertion
693,CD007380,CD007380 v. 5.0 Psychostimulant drugs for cocaine dependence
694,CD007393,CD007393 v. 10.0 Topical capsaicin (high concentration) for chronic neuropathic pain in adults
695,CD007399,CD007399 v. 10.0 The use of propofol for procedural sedation in emergency departments
696,CD007400,CD007400 v. 10.0 Topical NSAIDs for chronic musculoskeletal pain in adults
697,CD007402,CD007402 v. 14.0 Topical NSAIDs for acute musculoskeletal pain in adults
698,CD007407,CD007407 v. 13.0 Psychological therapies for the management of chronic pain (excluding headache) in adults
699,CD007410,CD007410 v. 4.5 Acupuncture for menopausal hot flushes
700,CD007411,CD007411 v. 20.2 Antioxidants for male subfertility
701,CD007412,CD007412 v. 6.0 Active versus expectant management for women in the third stage of labour
702,CD007419,CD007419 v. 9.14 Anti-vascular endothelial growth factor for diabetic macular oedema a network meta-analysis
703,CD007443,CD007443 v. 4.0 Probiotics for maintenance of remission in ulcerative colitis
704,CD007447,CD007447 v. 2.2 One-to-one oral hygiene advice provided in a dental setting for oral health
705,CD007451,CD007451 v. 4.0 Blood pressure lowering efficacy of beta-1 selective beta blockers for primary hypertension
706,CD007455,CD007455 v. 4.0 Stretch for the treatment and prevention of contractures
707,CD007458,CD007458 v. 3.0 Mobile phone messaging reminders for attendance at healthcare appointments
708,CD007464,CD007464 v. 3.2 Chemotherapy for brain metastases from small cell lung cancer
709,CD007469,CD007469 v. 3.6 Vitamin D supplementation for prevention of cancer in adults
710,CD007470,CD007470 v. 5.0 Vitamin D supplementation for prevention of mortality in adults
711,CD007471,CD007471 v. 6.1 Pelvic floor muscle training for preventing and treating urinary and faecal incontinence in antenata
712,CD007476,CD007476 v. 7.4 Deferasirox for managing iron overload in people with thalassaemia
713,CD007477,CD007477 v. 7.0 Deferasirox for managing transfusional iron overload in people with sickle cell disease
714,CD007478,CD007478 v. 2.1113 Interventions for cutaneous disease in systemic lupus erythematosus
715,CD007480,CD007480 v. 4.0 Vitamin A supplementation for the prevention of morbidity and mortality in infants one to six months
716,CD007483,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria
717,CD007495,CD007495 v. 2.0 Professional interventions for general practitioners on the management of musculoskeletal conditions
718,CD007498,CD007498 v. 6.0 Procalcitonin to initiate or discontinue antibiotics in acute respiratory tract infections
719,CD007504,CD007504 v. 5.0 Interventions for preventing relapse and recurrence of a depressive disorder in children and adolesc
720,CD007506,CD007506 v. 8.0 Lifestyle changes in women with polycystic ovary syndrome
721,CD007513,CD007513 v. 5.0 Circuit class therapy for improving mobility after stroke
722,CD007522,CD007522 v. 2.0 Pharmacological therapies for management of opium withdrawal
723,CD007524,CD007524 v. 13.3 Increased versus stable doses of inhaled corticosteroids for exacerbations of chronic asthma in adul
724,CD007543,CD007543 v. 2.2 Enhanced glucose control for preventing and treating diabetic neuropathy
725,CD007546,CD007546 v. 3.27 Interventions for preventing and reducing the use of physical restraints for older people in all lon
726,CD007554,CD007554 v. 5.2 Biocompatible dialysis fluids for peritoneal dialysis
727,CD007566,CD007566 v. 5.0 Exercise interventions on health-related quality of life for cancer survivors
728,CD007568,CD007568 v. 2.0 Telephone interventions for symptom management in adults with cancer
729,CD007575,CD007575 v. 4.0 Interventions for nausea and vomiting in early pregnancy
730,CD007577,CD007577 v. 4.0 Short-course versus prolonged-course antibiotic therapy for hospital-acquired pneumonia in criticall
731,CD007579,CD007579 v. 2.186 Interventions for preventing nausea and vomiting in women undergoing regional anaesthesia for caesar
732,CD007594,CD007594 v. 4.0 Hydroxyethyl starch (HES) versus other fluid therapies effects on kidney function
733,CD007598,CD007598 v. 4.0 Aromatherapy for treatment of postoperative nausea and vomiting
734,CD007614,CD007614 v. 3.0 Fresh frozen plasma for cardiovascular surgery
735,CD007622,CD007622 v. 5.0 Group versus conventional antenatal care for women
736,CD007628,CD007628 v. 5.2 Interventions for female pattern hair loss
737,CD007646,CD007646 v. 3.0 Community-based antibiotic delivery for possible serious bacterial infections in neonates in low- an
738,CD007647,CD007647 v. 2.0 Community-based maternal and newborn educational care packages for improving neonatal health and sur
739,CD007649,CD007649 v. 4.0 Certolizumab pegol (CDP870) for rheumatoid arthritis in adults
740,CD007651,CD007651 v. 3.342 School-based physical activity programs for promoting physical activity and fitness in children and 
741,CD007662,CD007662 v. 2.20 Pharmacotherapy for trichotillomania
742,CD007667,CD007667 v. 4.0 Pharmacological interventions for antisocial personality disorder
743,CD007668,CD007668 v. 3.0 Psychological interventions for antisocial personality disorder
744,CD007672,CD007672 v. 2.3 Interventions to improve continuity of care in the follow-up of patients with cancer
745,CD007689,CD007689 v. 6.0 Acupuncture for polycystic ovarian syndrome
746,CD007694,CD007694 v. 6.0 Regular treatment with formoterol and an inhaled corticosteroid versus regular treatment with salmet
747,CD007701,CD007701 v. 3.0 Pharmacological and mechanical interventions for labour induction in outpatient settings
748,CD007718,CD007718 v. 3.0 Telehealthcare for chronic obstructive pulmonary disease
749,CD007724,CD007724 v. 6.0 Oral anti-diabetic agents for women with established diabetesimpaired glucose tolerance or previous
750,CD007726,CD007726 v. 4.4 Withdrawal versus continuation of long-term antipsychotic drug use for behavioural and psychological
751,CD007736,CD007736 v. 4.0 Educational supportive and behavioural interventions to improve usage of continuous positive airway
752,CD007738,CD007738 v. 4.0 Spectacle correction versus no spectacles for prevention of strabismus in hyperopic children
753,CD007745,CD007745 v. 3.0 Ivermectin versus albendazole or thiabendazole for Strongyloides stercoralis infection
754,CD007751,CD007751 v. 3.145 Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers for adults with early (st
755,CD007754,CD007754 v. 4.0 Community-based intervention packages for reducing maternal and neonatal morbidity and mortality and
756,CD007771,CD007771 v. 10.0 Vitamin D for the treatment of chronic painful conditions in adults
757,CD007776,CD007776 v. 4.0 Preconception care for diabetic women for improving maternal and infant health
758,CD007784,CD007784 v. 6.0 HMG CoA reductase inhibitors (statins) for people with chronic kidney disease not requiring dialysis
759,CD007798,CD007798 v. 5.0 Clinically-indicated replacement versus routine replacement of peripheral venous catheters
760,CD007803,CD007803 v. 3.0 Augmentation of cognitive and behavioural therapies (CBT) with d-cycloserine for anxiety and related
761,CD007807,CD007807 v. 6.0 Antioxidants for female subfertility
762,CD007813,CD007813 v. 4.0 Amphetamines for attention deficit hyperactivity disorder (ADHD) in adults
763,CD007814,CD007814 v. 2.0 Histamine type 2 receptor antagonists as adjuvant treatment for resected colorectal cancer
764,CD007818,CD007818 v. 5.0 Treatment for postpolio syndrome
765,CD007821,CD007821 v. 3.0 Heated insufflation with or without humidification for laparoscopic abdominal surgery
766,CD007825,CD007825 v. 8.0 Collaboration between local health and local government agencies for health improvement
767,CD007851,CD007851 v. 5.0 Intravenous alpha-1 antitrypsin augmentation therapy for treating patients with alpha-1 antitrypsin 
768,CD007858,CD007858 v. 3.0 Blood pressure-lowering treatment for preventing recurrent stroke major vascular events and dement
769,CD007859,CD007859 v. 4.2 Initial arch wires used in orthodontic treatment with fixed appliances
770,CD007862,CD007862 v. 6.9 Active cycle of breathing technique for cystic fibrosis
771,CD007867,CD007867 v. 4.0 Prescribed hypocaloric nutrition support for critically-ill adults
772,CD007872,CD007872 v. 5.0 Tranexamic acid for preventing postpartum haemorrhage
773,CD007874,CD007874 v. 3.0 Lidocaine for reducing propofol-induced pain on induction of anaesthesia in adults
774,CD007876,CD007876 v. 4.0 Culture media for human pre-implantation embryos in assisted reproductive technology cycles
775,CD007888,CD007888 v. 3.0 Stem cell therapy for chronic ischaemic heart disease and congestive heart failure
776,CD007892,CD007892 v. 7.0 Vaginal preparation with antiseptic solution before cesarean section for preventing postoperative in
777,CD007899,CD007899 v. 5.0 Paying for performance to improve the delivery of health interventions in low- and middle-income cou
778,CD007910,CD007910 v. 2.0 Interventions for lowering plasma homocysteine levels in kidney transplant recipients
779,CD007912,CD007912 v. 2.0 Exercise for osteoarthritis of the hip
780,CD007913,CD007913 v. 2.0 Primary prophylactic colony-stimulating factors for the prevention of chemotherapy-induced febrile n
781,CD007917,CD007917 v. 2.0 Light therapies for acne
782,CD007927,CD007927 v. 5.0 Epidermal growth factor receptor blockers for the treatment of ovarian cancer
783,CD007929,CD007929 v. 7.9 Poly(ADP-ribose) polymerase (PARP) inhibitors for the treatment of ovarian cancer
784,CD007930,CD007930 v. 2.19 Angiogenesis inhibitors for the treatment of epithelial ovarian cancer
785,CD007938,CD007938 v. 15.0 Gabapentin for chronic neuropathic pain in adults
786,CD007949,CD007949 v. 3.0 Addition of long-acting beta2-agonists to inhaled corticosteroids for chronic asthma in children
787,CD007950,CD007950 v. 3.2 Effects and safety of periconceptional oral folate supplementation for preventing birth defects
788,CD007952,CD007952 v. 4.0 Incentives and enablers to improve adherence in tuberculosis
789,CD007961,CD007961 v. 2.81 Topical microbicides for preventing sexually transmitted infections
790,CD007964,CD007964 v. 2.7 Cognitive behavioural therapy plus standard care versus standard care for people with schizophrenia
791,CD007978,CD007978 v. 3.0 Email for clinical communication between patientscaregivers and healthcare professionals
792,CD007986,CD007986 v. 4.38 Polyunsaturated fatty acids (PUFA) for attention deficit hyperactivity disorder (ADHD) in children a
793,CD008012,CD008012 v. 3.81 Psychological and pharmacological interventions for depression in patients with coronary artery dise
794,CD008016,CD008016 v. 4.7 Maintenance treatment with antipsychotic drugs for schizophrenia
795,CD008039,CD008039 v. 8.0 Ibuprofen with or without an antiemetic for acute migraine headaches in adults
796,CD008063,CD008063 v. 4.0 Motivational interviewing for substance abuse
797,CD008080,CD008080 v. 2.3 Intratympanic corticosteroids for sudden sensorineural hearing loss
798,CD008106,CD008106 v. 5.10 Surgical versus non-surgical interventions for treating patellar dislocation
799,CD008112,CD008112 v. 5.0 Spinal manipulative therapy for chronic low-back pain
800,CD008141,CD008141 v. 2.3 Second-generation antipsychotics for obsessive compulsive disorder
801,CD008144,CD008144 v. 4.0 Educational interventions for the management of cancer-related fatigue in adults
802,CD008145,CD008145 v. 3.0 Interventions for improving coverage of childhood immunisation in low- and middle-income countries
803,CD008152,CD008152 v. 6.0 Primaquine or other 8-aminoquinolines for reducing Plasmodium falciparum transmission
804,CD008161,CD008161 v. 3.10 First-line diuretics versus other classes of antihypertensive drugs for hypertension
805,CD008165,CD008165 v. 4.2 Interventions to improve the appropriate use of polypharmacy for older people
806,CD008168,CD008168 v. 2.31 Intermittent phototherapy versus continuous phototherapy for neonatal jaundice
807,CD008170,CD008170 v. 3.0 First-line drugs inhibiting the renin angiotensin system versus other first-line antihypertensive dr
808,CD008189,CD008189 v. 3.155 Preconception lifestyle advice for people with infertility
809,CD008201,CD008201 v. 3.0 Interventions for implementation of thromboprophylaxis in hospitalized patients at risk for venous t
810,CD008203,CD008203 v. 3.0 Statins for primary prevention of venous thromboembolism
811,CD008207,CD008207 v. 3.0 Continuous passive motion for preventing venous thromboembolism after total knee arthroplasty
812,CD008208,CD008208 v. 8.0 Non-invasive brain stimulation techniques for chronic pain
813,CD008213,CD008213 v. 3.1 Surgical interventions for primary congenital glaucoma
814,CD008215,CD008215 v. 5.2 Risk of ovarian cancer in women treated with ovarian stimulating drugs for infertility
815,CD008218,CD008218 v. 4.7 Anti-angiogenic therapy for high-grade glioma
816,CD008226,CD008226 v. 5.0 Atorvastatin for lowering lipids
817,CD008239,CD008239 v. 8.199 Perioperative enhanced recovery programmes for women with gynaecological cancers
818,CD008242,CD008242 v. 10.0 Amitriptyline for neuropathic pain in adults
819,CD008250,CD008250 v. 2.0 Breathing exercises for chronic obstructive pulmonary disease
820,CD008251,CD008251 v. 3.0 Topical phenytoin for treating pressure ulcers
821,CD008276,CD008276 v. 2.1 Pharmacotherapy for hypertension in adults aged 18 to 59 years
822,CD008286,CD008286 v. 4.0 Combined pharmacotherapy and behavioural interventions for smoking cessation
823,CD008294,CD008294 v. 7.0 Pine bark (Pinus spp.) extract for treating chronic disorders
824,CD008307,CD008307 v. 5.1 Pharmacotherapy for the prevention of chronic pain after surgery in adults
825,CD008320,CD008320 v. 9.8 Pharmacological interventions for pruritus in adult palliative care patients
826,CD008324,CD008324 v. 4.0 Psychological therapies versus antidepressant medication alone and in combination for depression in
827,CD008326,CD008326 v. 5.0 Total disc replacement for chronic back pain in the presence of disc degeneration
828,CD008328,CD008328 v. 2.8 Airway clearance techniques for chronic obstructive pulmonary disease
829,CD008333,CD008333 v. 3.0 Anti-cytokine targeted therapies for ANCA-associated vasculitis
830,CD008334,CD008334 v. 2.0 Biologic interventions for fatigue in rheumatoid arthritis
831,CD008341,CD008341 v. 2.0 Golimumab for rheumatoid arthritis
832,CD008345,CD008345 v. 3.0 Case management approaches to home support for people with dementia
833,CD008349,CD008349 v. 5.0 Virtual reality for stroke rehabilitation
834,CD008366,CD008366 v. 5.0 Community wide interventions for increasing physical activity
835,CD008367,CD008367 v. 6.92 Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
836,CD008381,CD008381 v. 2.2 Psychological and pharmacological interventions for depression in patients with diabetes mellitus an
